time,symbol,event,direction,entry,exit,pnl_pct,strength
2026-06-15 22:09,BTC/USDT,OPEN,LONG,66368.15,,,1
2026-06-15 22:09,ETH/USDT,OPEN,LONG,1811.35,,,1
2026-06-15 22:09,BNB/USDT,OPEN,LONG,619.32,,,1
2026-06-15 22:09,XRP/USDT,OPEN,LONG,1.25,,,1
2026-06-15 22:09,ADA/USDT,OPEN,LONG,0.1794,,,1
2026-06-15 22:09,DOT/USDT,OPEN,LONG,1.016,,,1
2026-06-15 22:09,LINK/USDT,OPEN,LONG,8.354,,,1
2026-06-15 22:09,NEAR/USDT,OPEN,LONG,2.445,,,1
2026-06-15 22:09,UNI/USDT,OPEN,LONG,2.782,,,1
2026-06-15 23:04,SOL/USDT,OPEN,LONG,73.78,,,1
2026-06-15 23:04,ADA/USDT,CLOSE,LONG,0.1794,0.1783,-0.61,1
2026-06-15 23:04,ADA/USDT,OPEN,SHORT,0.1783,,,1
2026-06-15 23:04,DOGE/USDT,OPEN,SHORT,0.08802,,,1
2026-06-15 23:04,UNI/USDT,CLOSE,LONG,2.782,2.786,0.14,1
2026-06-16 02:05,BNB/USDT,CLOSE,LONG,619.32,615.8,-0.57,1
2026-06-16 02:05,ADA/USDT,CLOSE,SHORT,0.1783,0.1773,0.56,1
2026-06-16 02:05,DOGE/USDT,CLOSE,SHORT,0.08802,0.08787,0.17,1
2026-06-16 02:05,BCH/USDT,OPEN,LONG,223.8,,,1
2026-06-16 08:25,BTC/USDT,CLOSE,LONG,66368.15,66372.0,0.01,1
2026-06-16 08:25,ADA/USDT,OPEN,LONG,0.1788,,,1
2026-06-16 08:25,DOT/USDT,CLOSE,LONG,1.016,1.016,0.0,1
2026-06-16 13:09,XRP/USDT,CLOSE,LONG,1.25,1.2446,-0.43,1
2026-06-16 13:09,ADA/USDT,CLOSE,LONG,0.1788,0.18,0.67,1
2026-06-16 13:09,BCH/USDT,CLOSE,LONG,223.8,221.0,-1.25,1
2026-06-16 13:09,UNI/USDT,OPEN,LONG,3.073,,,1
2026-06-16 18:14,LINK/USDT,CLOSE,LONG,8.354,8.256,-1.17,1
2026-06-16 18:14,NEAR/USDT,CLOSE,LONG,2.445,2.336,-4.46,1
2026-06-16 21:25,SOL/USDT,CLOSE,LONG,73.78,74.14,0.49,1
2026-06-16 21:25,NEAR/USDT,OPEN,LONG,2.37,,,1
2026-06-16 23:00,NEAR/USDT,CLOSE,LONG,2.37,2.326,-1.86,1
2026-06-16 23:00,UNI/USDT,CLOSE,LONG,3.073,3.271,6.44,1
